label,x,y,plot_type,plot_num
h_h7_01,0.0,590.8759245453833,path,0
h_h7_01,15.000000000000005,590.8759245453833,path,0
h_h7_01,17.04937076638407,590.8759245453833,path,0
h_h7_01,19.37873623530875,590.8759245453833,path,0
h_h7_01,22.026350603982703,590.8759245453833,path,0
h_h7_01,25.035694538511216,590.8759245453833,path,0
h_h7_01,28.456189238734282,1573.2152462474137,path,0
h_h7_01,32.34400806197123,1573.2152462474137,path,0
h_h7_01,36.76299903463085,1573.2152462474137,path,0
h_h7_01,41.78573340170934,1573.2152462474137,path,0
h_h7_01,47.49469743406809,1573.2152462474137,path,0
h_h7_01,53.983647066043766,3809.367677656336,path,0
h_h7_01,61.359147610040026,3809.367677656336,path,0
h_h7_01,69.74232383419073,3809.367677656336,path,0
h_h7_01,79.27084914388936,3809.367677656336,path,0
h_h7_01,90.10120653468456,9061.442503092714,path,0
h_h7_01,102.41125844722546,9061.442503092714,path,0
h_h7_01,116.40316772791525,9061.442503092714,path,0
h_h7_01,132.30671766498793,9061.442503092714,path,0
h_h7_01,150.38308562357815,9061.442503092714,path,0
h_h7_01,170.92913225261748,20701.56922810571,path,0
h_h7_01,194.28227670341144,20701.56922810571,path,0
h_h7_01,220.82603792357884,20701.56922810571,path,0
h_h7_01,250.9963330287121,20701.56922810571,path,0
h_h7_01,285.288636187288,44270.39740205233,path,0
h_h7_01,324.26611558620823,44270.39740205233,path,0
h_h7_01,368.56888210696076,44270.39740205233,path,0
h_h7_01,418.9245015995511,44270.39740205233,path,0
h_h7_01,476.15994339289307,44270.39740205233,path,0
h_h7_01,541.2151612670588,93765.0725747487,path,0
h_h7_01,615.1585299220282,93765.0725747487,path,0
h_h7_01,699.2043904496278,93765.0725747487,path,0
h_h7_01,794.7329929506177,93765.0725747487,path,0
h_h7_01,903.313163806211,182504.68878823356,path,0
h_h7_01,1026.728069859167,182504.68878823356,path,0
h_h7_01,1167.0045026188536,182504.68878823356,path,0
h_h7_01,1326.446163412563,182504.68878823356,path,0
h_h7_01,1507.671496111229,182504.68878823356,path,0
h_h7_01,1713.6566887406207,374622.04036690627,path,0
h_h7_01,1947.7845501755212,374622.04036690627,path,0
h_h7_01,2213.900064598471,374622.04036690627,path,0
h_h7_01,2516.373536070728,374622.04036690627,path,0
h_h7_01,2860.1723602124507,666666.6666666667,path,0
h_h7_01,3250.9426016683906,666666.6666666667,path,0
h_h7_01,3695.1017170718364,666666.6666666667,path,0
h_h7_01,4199.943946257342,666666.6666666667,path,0
h_h7_01,4773.760102518104,666666.6666666667,path,0
h_h7_01,5425.973729173516,666666.6666666667,path,0
h_h7_01,6167.29585848925,666666.6666666667,path,0
h_h7_01,7009.900914491209,542936.119931924,path,0
h_h7_01,7967.626648451687,282368.6213708341,path,0
h_h7_01,9056.201390504979,71939.97445688667,path,0
h_h7_01,10293.502349450819,31139.983450444906,path,0
h_h7_01,11699.849202695485,13155.114464696117,path,0
h_h7_01,13298.337797835884,6641.171638651095,path,0
h_h7_01,15115.219446128205,4152.8333987836295,path,0
h_h7_01,17180.332036819877,2865.071386256334,path,0
h_h7_01,19527.590052355223,2264.689290796568,path,0
h_h7_01,22195.541531770465,2120.31434056307,path,0
h_h7_01,25228.00112905538,2299.9893626885478,path,0
h_h7_01,28674.769662934697,2700.248821444727,path,0
h_h7_01,32592.45197493569,3446.796008712927,path,0
h_h7_01,37045.38652708297,3922.6633515015683,path,0
h_h7_01,42106.70200561642,4293.481548028162,path,0
h_h7_01,47859.5182828934,4676.673154800227,path,0
h_h7_01,54398.311460372424,5129.017115202695,path,0
h_h7_01,61830.46541020858,5597.608856622356,path,0
h_h7_01,70278.035295782,5986.471709292516,path,0
h_h7_01,79879.75203272086,6373.463049943751,path,0
h_h7_01,90793.30060884515,6993.5179898315355,path,0
