label,x,y,plot_type,plot_num
o_o7_1,0.0,13684.096780332675,path,0
o_o7_1,15.0,13684.096780332675,path,0
o_o7_1,17.529019442631643,13684.096780332675,path,0
o_o7_1,20.48443484134386,13144.026739632374,path,0
o_o7_1,23.938137107015837,12701.475829708195,path,0
o_o7_1,27.97413805128415,12452.992471121765,path,0
o_o7_1,32.690613986121434,12459.182096751114,path,0
o_o7_1,38.202293876952574,12725.32975324141,path,0
o_o7_1,44.64325014148192,13198.063123754451,path,0
o_o7_1,52.170159980820294,13767.373025554627,path,0
o_o7_1,60.96611657526676,14274.909160478412,path,0
o_o7_1,71.2450828526399,14534.564336090407,path,0
o_o7_1,83.25709616772171,14375.51074572889,path,0
o_o7_1,97.29435049740309,13704.386286397079,path,0
o_o7_1,113.69830410181311,12558.298087963802,path,0
o_o7_1,132.86798554632833,11101.22715006365,path,0
o_o7_1,155.2697001296593,9553.736945793642,path,0
o_o7_1,181.44837282829218,8102.421002127405,path,0
o_o7_1,212.04080367606707,8102.421002127405,path,0
o_o7_1,247.79115801793446,6846.626305538874,path,0
o_o7_1,289.5690684405722,5902.314399482389,path,0
o_o7_1,338.390788711968,5287.135637596004,path,0
o_o7_1,395.4439143026361,4972.184862011499,path,0
o_o7_1,462.1162708187511,4917.675158782221,path,0
o_o7_1,540.0296730625543,5090.604974452026,path,0
o_o7_1,631.0793759141013,5472.537728394773,path,0
o_o7_1,737.4801766828083,6064.592488504326,path,0
o_o7_1,861.820290375224,6894.72234071684,path,0
o_o7_1,1007.1243084027828,8029.853896988992,path,0
o_o7_1,1176.926772209288,9594.464813508037,path,0
o_o7_1,1375.3581515073533,11787.079893358263,path,0
o_o7_1,1607.2453185569543,14856.97255285617,path,0
o_o7_1,1878.2289625375677,18931.405131170566,path,0
o_o7_1,2194.9008001356588,23550.981668604876,path,0
o_o7_1,2564.963920015048,23550.981668604876,path,0
o_o7_1,2997.420161572827,27003.132225176498,path,0
o_o7_1,3502.7890859964114,28715.444077352695,path,0
o_o7_1,4093.3638661245973,28822.683680429825,path,0
o_o7_1,4783.510319670926,29304.619271225143,path,0
o_o7_1,5590.016359836052,35551.514465560926,path,0
o_o7_1,6532.500363746334,40078.46806222857,path,0
o_o7_1,7633.888392340518,44047.406609010046,path,0
o_o7_1,8920.971870147789,39555.804151553755,path,0
o_o7_1,10425.059290599373,29939.779030109894,path,0
o_o7_1,12182.73779970027,18690.430693530638,path,0
o_o7_1,14236.763183695282,9981.867078034837,path,0
o_o7_1,16637.099909809134,5204.116560338882,path,0
o_o7_1,19442.136519203275,3399.3593248426378,path,0
