label,x,y,plot_type,plot_num
m25_m7_11,0.0,428.65890300843176,path,0
m25_m7_11,15.000000000000005,428.65890300843176,path,0
m25_m7_11,17.029861079917975,428.65890300843176,path,0
m25_m7_11,19.334411226753637,428.65890300843176,path,0
m25_m7_11,21.950822483574722,428.65890300843176,path,0
m25_m7_11,24.921297165681136,428.65890300843176,path,0
m25_m7_11,28.29374857752688,1017.5856429185447,path,0
m25_m7_11,32.122573847027255,1017.5856429185447,path,0
m25_m7_11,36.46953134295202,1017.5856429185447,path,0
m25_m7_11,41.40473682801243,1017.5856429185447,path,0
m25_m7_11,47.007794415441005,2554.6758419541966,path,0
m25_m7_11,53.369080571220266,2554.6758419541966,path,0
m25_m7_11,60.591201872721946,2554.6758419541966,path,0
m25_m7_11,68.79065003718128,2554.6758419541966,path,0
m25_m7_11,78.09968091536341,7478.352185584041,path,0
m25_m7_11,88.66844775830397,7478.352185584041,path,0
m25_m7_11,100.66742316639191,7478.352185584041,path,0
m25_m7_11,114.29014878646468,7478.352185584041,path,0
m25_m7_11,129.75635710910979,7478.352185584041,path,0
m25_m7_11,147.31551572029105,22459.51234062379,path,0
m25_m7_11,167.25085117553505,22459.51234062379,path,0
m25_m7_11,189.88391740115975,22459.51234062379,path,0
m25_m7_11,215.5797823101578,22459.51234062379,path,0
m25_m7_11,244.75291629206288,59483.20500151229,path,0
m25_m7_11,277.8738775572413,59483.20500151229,path,0
m25_m7_11,315.4769021691969,59483.20500151229,path,0
m25_m7_11,358.16852119095273,59483.20500151229,path,0
m25_m7_11,406.63734393877183,132377.31769219687,path,0
m25_m7_11,461.66516514560715,132377.31769219687,path,0
m25_m7_11,524.1395751911382,132377.31769219687,path,0
m25_m7_11,595.0682767994864,132377.31769219687,path,0
m25_m7_11,675.5953391307614,132377.31769219687,path,0
m25_m7_11,767.019651442462,250499.65452643615,path,0
m25_m7_11,870.8158739754815,250499.65452643615,path,0
m25_m7_11,988.6582239993196,250499.65452643615,path,0
m25_m7_11,1122.4474806817884,250499.65452643615,path,0
m25_m7_11,1274.3416443676504,375176.4009133271,path,0
m25_m7_11,1446.7907447956868,375176.4009133271,path,0
m25_m7_11,1642.5763597054388,375176.4009133271,path,0
m25_m7_11,1864.8564812627328,375176.4009133271,path,0
m25_m7_11,2117.2164539925966,460628.5098848727,path,0
m25_m7_11,2403.726805840697,460628.5098848727,path,0
m25_m7_11,2729.0089051694654,460628.5098848727,path,0
m25_m7_11,3098.3095027263353,460628.5098848727,path,0
m25_m7_11,3517.5853609346136,460628.5098848727,path,0
m25_m7_11,3993.5993355646347,457135.85455795826,path,0
m25_m7_11,4534.029459567895,392979.90648462554,path,0
m25_m7_11,5147.592788579781,296588.7702592834,path,0
m25_m7_11,5844.186005700081,184245.08916439267,path,0
m25_m7_11,6635.045053484865,38483.259878620505,path,0
m25_m7_11,7532.9263679896085,14515.407219726509,path,0
m25_m7_11,8552.312638140927,5995.027240389354,path,0
m25_m7_11,9709.64640930445,3334.712954581802,path,0
m25_m7_11,11023.595299038598,2540.5564118968146,path,0
m25_m7_11,12515.353102924271,2569.4375613611196,path,0
m25_m7_11,14208.981647261377,2876.0493812858595,path,0
m25_m7_11,16131.79890266433,3243.2684506698834,path,0
m25_m7_11,18314.81961876978,3353.9983997141326,path,0
m25_m7_11,20793.25558742701,3184.842062450801,path,0
m25_m7_11,23607.083603540672,3185.0298586636673,path,0
m25_m7_11,26801.6902846871,3355.6289796549618,path,0
m25_m7_11,30428.60415034723,3355.6289796549618,path,0
m25_m7_11,34546.32676908187,4562.524094264679,path,0
m25_m7_11,39221.27637992771,5253.043510956213,path,0
m25_m7_11,44528.859208482405,5597.780089993168,path,0
m25_m7_11,50554.68575784543,6054.761791033765,path,0
m25_m7_11,57395.95169300101,7590.75330193459,path,0
m25_m7_11,65163.005592099245,7736.807890437656,path,0
m25_m7_11,73981.12885222453,7736.807890437656,path,0
m25_m7_11,83992.55645925956,8554.8054133863,path,0
m25_m7_11,95358.77121655713,8559.103265174776,path,0
m25_m7_11,108263.10843797644,8170.152156710904,path,0
m25_m7_11,122913.71311858889,9098.472887874826,path,0
m25_m7_11,139546.8972817638,11835.706063391768,path,0
m25_m7_11,158430.95165613468,11835.706063391768,path,0
m25_m7_11,179870.47316421138,13172.471478000516,path,0
m25_m7_11,204211.2780243757,17358.811846111264,path,0
m25_m7_11,231845.97971384134,16571.36036940925,path,0
m25_m7_11,263220.32176427956,16571.36036940925,path,0
m25_m7_11,298840.3675371323,22404.544405528468,path,0
m25_m7_11,339280.6629485997,22404.544405528468,path,0
m25_m7_11,385193.5038078079,30311.873964587066,path,0
m25_m7_11,437319.457248921,20948.30517012362,path,0
m25_m7_11,496499.30696628283,20948.30517012362,path,0
m25_m7_11,563687.6149274234,22139.222571920975,path,0
m25_m7_11,639968.1183122871,22139.222571920975,path,0
m25_m7_11,726571.210028983,25488.371287708993,path,0
m25_m7_11,824893.7847640995,25488.371287708993,path,0
m25_m7_11,936521.770681357,25790.008111740703,path,0
m25_m7_11,1063255.7102014858,25790.008111740703,path,0
m25_m7_11,1207139.8024773868,14716.613934048775,path,0
m25_m7_11,1370494.8760153025,14716.613934048775,path,0
m25_m7_11,1555955.8232853317,31164.576153385173,path,0
m25_m7_11,1766514.101135904,31164.576153385173,path,0
m25_m7_11,2005565.9825373718,31164.576153385173,path,0
m25_m7_11,2276967.3379480443,31164.576153385173,path,0
m25_m7_11,2585095.8299177187,31164.576153385173,path,0
m25_m7_11,2934921.5241182637,31164.576153385173,path,0
m25_m7_11,3332087.0557463462,31164.576153385173,path,0
m25_m7_11,3782998.6443702066,31164.576153385173,path,0
m25_m7_11,4294929.425276166,31164.576153385173,path,0
m25_m7_12,0.0,8201.383648778345,path,1
m25_m7_12,15.000000000000005,8201.383648778345,path,1
m25_m7_12,17.01561056266869,8201.383648778345,path,1
m25_m7_12,19.30206685469346,8201.383648778345,path,1
m25_m7_12,21.895763510270616,8201.383648778345,path,1
m25_m7_12,24.83798565753708,8201.383648778345,path,1
m25_m7_12,28.17556607398675,11502.871163319489,path,1
m25_m7_12,31.961630646513196,11502.871163319489,path,1
m25_m7_12,36.25644400192834,11502.871163319489,path,1
m25_m7_12,41.12836876826784,11502.871163319489,path,1
m25_m7_12,46.654953735911356,10158.811974344499,path,1
m25_m7_12,52.92416823930614,10158.811974344499,path,1
m25_m7_12,60.03580240754615,10158.811974344499,path,1
m25_m7_12,68.10305557227541,10158.811974344499,path,1
m25_m7_12,77.2543381163748,9320.143641373552,path,1
m25_m7_12,87.63531544433101,9320.143641373552,path,1
m25_m7_12,99.41122660915728,9320.143641373552,path,1
m25_m7_12,112.76951450257515,9320.143641373552,path,1
m25_m7_12,127.92280947446915,13275.085465085052,path,1
m25_m7_12,145.11231387333524,13275.085465085052,path,1
m25_m7_12,164.61164138109444,13275.085465085052,path,1
m25_m7_12,186.73117225482534,13275.085465085052,path,1
m25_m7_12,211.82299379991406,15356.66186292129,path,1
m25_m7_12,240.28650471452792,15356.66186292129,path,1
m25_m7_12,272.574772512484,15356.66186292129,path,1
m25_m7_12,309.20174521869563,15356.66186292129,path,1
m25_m7_12,350.7504321292551,14950.512852438127,path,1
m25_m7_12,397.8821838532773,14950.512852438127,path,1
m25_m7_12,451.3472193514337,14950.512852438127,path,1
m25_m7_12,511.99656753515944,14950.512852438127,path,1
m25_m7_12,580.795613506758,14950.512852438127,path,1
m25_m7_12,658.8394650624816,17215.81954370464,path,1
m25_m7_12,747.3703840546766,17215.81954370464,path,1
m25_m7_12,847.7975600764335,17215.81954370464,path,1
m25_m7_12,961.7195412160862,17215.81954370464,path,1
m25_m7_12,1090.9496789227546,18609.2568902206,path,1
m25_m7_12,1237.5449920012015,18609.2568902206,path,1
m25_m7_12,1403.8389091782253,18609.2568902206,path,1
m25_m7_12,1592.4784114198849,18609.2568902206,path,1
m25_m7_12,1806.466165211869,17692.046204820825,path,1
m25_m7_12,2049.208317458845,17692.046204820825,path,1
m25_m7_12,2324.5687127774167,17692.046204820825,path,1
m25_m7_12,2636.930396185635,17692.046204820825,path,1
m25_m7_12,2991.265380157227,15893.325556470161,path,1
m25_m7_12,3393.213786556565,18083.09593254382,path,1
m25_m7_12,3849.1736231949885,24891.591221043538,path,1
